Fold=6, K=11, L=2, accuracy=0.963262
Fold=6, K=11, L=3, accuracy=0.965714
Fold=6, K=11, L=4, accuracy=0.966476
Fold=6, K=11, L=5, accuracy=0.967881
Fold=6, K=11, L=6, accuracy=0.968119
Fold=6, K=11, L=7, accuracy=0.968357
Fold=6, K=11, L=8, accuracy=0.968929
Fold=6, K=11, L=9, accuracy=0.968762
Fold=6, K=11, L=10, accuracy=0.968190
Fold=6, K=11, L=11, accuracy=0.969000
Fold=6, K=11, L=12, accuracy=0.968762
Fold=6, K=4, L=8, accuracy=0.972714
Fold=6, K=6, L=8, accuracy=0.971310
Fold=6, K=8, L=8, accuracy=0.970857
Fold=6, K=10, L=8, accuracy=0.968810
Fold=6, K=12, L=8, accuracy=0.968000
Fold=6, K=4, L=3, accuracy=0.968952
Fold=6, K=4, L=5, accuracy=0.971095
Fold=6, K=4, L=7, accuracy=0.972119
Fold=6, K=4, L=9, accuracy=0.971548
Fold=6, K=4, L=11, accuracy=0.972405
